,Watts,,,,year,nm,cm²,
model,TDP,core_units,manufacturer,family,manufacture_date,process,die_size,source, comment
Xeon w9-3495X,350,56,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w9-3495x.c3106,


,,28,Intel,Skylake,2017,14,6.94,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for XCC configuration
,,24,Intel,Skylake,2017,14,6.94,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for XCC configuration
,,22,Intel,Skylake,2017,14,6.94,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for XCC configuration
,,20,Intel,Skylake,2017,14,6.94,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for XCC configuration
,,18,Intel,Skylake,2017,14,4.85,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for HCC configuration
,,16,Intel,Skylake,2017,14,4.85,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for HCC configuration
,,14,Intel,Skylake,2017,14,4.85,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for HCC configuration
,,12,Intel,Skylake,2017,14,4.85,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for HCC configuration
,,10,Intel,Skylake,2017,14,3.25,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for LCC configuration
,,8,Intel,Skylake,2017,14,3.25,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for LCC configuration
,,6,Intel,Skylake,2017,14,3.25,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for LCC configuration
,,4,Intel,Skylake,2017,14,3.25,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server), die size for LCC configuration
,,4,Intel,Coffee Lake,2017,14,1.26,https://en.wikichip.org/wiki/intel/microarchitectures/coffee_lake
,,6,Intel,Coffee Lake,2017,14,1.49,https://en.wikichip.org/wiki/intel/microarchitectures/coffee_lake
,,8,Intel,Coffee Lake,2017,14,1.74,https://en.wikichip.org/wiki/intel/microarchitectures/coffee_lakee
,,24,Intel,Broadwell,2014,14,4.56,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)
,,22,Intel,Broadwell,2014,14,4.56,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,20,Intel,Broadwell,2014,14,4.56,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,18,Intel,Broadwell,2014,14,4.56,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,16,Intel,Broadwell,2014,14,4.56,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,14,Intel,Broadwell,2014,14,3.06,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,12,Intel,Broadwell,2014,14,3.06,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,10,Intel,Broadwell,2014,14,2.46,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,8,Intel,Broadwell,2014,14,2.46,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,6,Intel,Broadwell,2014,14,2.46,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,4,Intel,Broadwell,2014,14,1.82,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client))
,,18,Intel,Haswell,2013,22,6.22,https://en.wikichip.org/wiki/intel/microarchitectures/haswell_(client)
,,16,Intel,Haswell,2013,22,6.22,https://en.wikichip.org/wiki/intel/microarchitectures/haswell_(client)
,,14,Intel,Haswell,2013,22,6.22,https://en.wikichip.org/wiki/intel/microarchitectures/haswell_(client)
,,12,Intel,Haswell,2013,22,6.22,https://en.wikichip.org/wiki/intel/microarchitectures/haswell_(client)
,,10,Intel,Haswell,2013,22,6.22,https://en.wikichip.org/wiki/intel/microarchitectures/haswell_(client)
,,8,Intel,Haswell,2013,22,3.56,https://en.wikichip.org/wiki/intel/microarchitectures/haswell_(client)
,,6,Intel,Haswell,2013,22,3.56,https://en.wikichip.org/wiki/intel/microarchitectures/haswell_(client)
,,4,Intel,Ivy Bridge,2011,22,1.60,https://en.wikichip.org/wiki/intel/microarchitectures/ivy_bridge_(client)
,,6,Intel,Ivy Bridge,2011,22,2.57,https://en.wikichip.org/wiki/intel/microarchitectures/ivy_bridge_(client))
,,10,Intel,Ivy Bridge,2011,22,3.41,https://en.wikichip.org/wiki/intel/microarchitectures/ivy_bridge_(client)
